mouse,day,session,filepath
1,1,VR,VR/M1_D1_side_capture_VR.avi
1,2,VR,VR/M1_D2_side_capture_VR.avi
1,3,VR,VR/M1_D3_side_capture_VR.avi
1,4,VR,VR/M1_D4_side_capture_VR.avi
1,5,VR,VR/M1_D5_side_capture_VR.avi
1,6,VR,VR/M1_D6_side_capture_VR.avi
1,7,VR,VR/M1_D7_side_capture_VR.avi
1,8,VR,VR/M1_D8_side_capture_VR.avi
1,9,VR,VR/M1_D9_side_capture_VR.avi
1,10,VR,VR/M1_D10_side_capture_VR.avi
1,11,VR,VR/M1_D11_side_capture_VR.avi
1,12,VR,VR/M1_D12_side_capture_VR.avi
1,13,VR,VR/M1_D13_side_capture_VR.avi
1,14,VR,VR/M1_D14_side_capture_VR.avi
1,15,VR,VR/M1_D15_side_capture_VR.avi
1,16,VR,VR/M1_D16_side_capture_VR.avi
1,17,VR,VR/M1_D17_side_capture_VR.avi
1,18,VR,VR/M1_D18_side_capture_VR.avi
1,19,VR,VR/M1_D19_side_capture_VR.avi
1,20,VR,VR/M1_D20_side_capture_VR.avi
1,21,VR,VR/M1_D21_side_capture_VR.avi
1,22,VR,VR/M1_D22_side_capture_VR.avi
1,23,VR,VR/M1_D23_side_capture_VR.avi
1,24,VR,VR/M1_D24_side_capture_VR.avi
1,25,VR,VR/M1_D25_side_capture_VR.avi
1,26,VR,VR/M1_D26_side_capture_VR.avi
1,27,VR,VR/M1_D27_side_capture_VR.avi
1,28,VR,VR/M1_D28_side_capture_VR.avi
1,29,VR,VR/M1_D29_side_capture_VR.avi
2,1,VR,VR/M2_D1_side_capture_VR.avi
2,2,VR,VR/M2_D2_side_capture_VR.avi
2,3,VR,VR/M2_D3_side_capture_VR.avi
2,4,VR,VR/M2_D4_side_capture_VR.avi
2,5,VR,VR/M2_D5_side_capture_VR.avi
2,6,VR,VR/M2_D6_side_capture_VR.avi
2,7,VR,VR/M2_D7_side_capture_VR.avi
2,8,VR,VR/M2_D8_side_capture_VR.avi
2,9,VR,VR/M2_D9_side_capture_VR.avi
2,10,VR,VR/M2_D10_side_capture_VR.avi
2,11,VR,VR/M2_D11_side_capture_VR.avi
2,12,VR,VR/M2_D12_side_capture_VR.avi
2,13,VR,VR/M2_D13_side_capture_VR.avi
2,14,VR,VR/M2_D14_side_capture_VR.avi
2,15,VR,VR/M2_D15_side_capture_VR.avi
2,16,VR,VR/M2_D16_side_capture_VR.avi
2,17,VR,VR/M2_D17_side_capture_VR.avi
2,18,VR,VR/M2_D18_side_capture_VR.avi
2,19,VR,VR/M2_D19_side_capture_VR.avi
2,20,VR,VR/M2_D20_side_capture_VR.avi
2,21,VR,VR/M2_D21_side_capture_VR.avi
2,22,VR,VR/M2_D22_side_capture_VR.avi
2,23,VR,VR/M2_D23_side_capture_VR.avi
2,24,VR,VR/M2_D24_side_capture_VR.avi
2,25,VR,VR/M2_D25_side_capture_VR.avi
2,26,VR,VR/M2_D26_side_capture_VR.avi
2,27,VR,VR/M2_D27_side_capture_VR.avi
3,1,VR,VR/M3_D1_side_capture_VR.avi
3,2,VR,VR/M3_D2_side_capture_VR.avi
3,3,VR,VR/M3_D3_side_capture_VR.avi
3,4,VR,VR/M3_D4_side_capture_VR.avi
3,5,VR,VR/M3_D5_side_capture_VR.avi
3,6,VR,VR/M3_D6_side_capture_VR.avi
3,7,VR,VR/M3_D7_side_capture_VR.avi
3,8,VR,VR/M3_D8_side_capture_VR.avi
3,9,VR,VR/M3_D9_side_capture_VR.avi
3,10,VR,VR/M3_D10_side_capture_VR.avi
3,11,VR,VR/M3_D11_side_capture_VR.avi
3,12,VR,VR/M3_D12_side_capture_VR.avi
3,13,VR,VR/M3_D13_side_capture_VR.avi
3,14,VR,VR/M3_D14_side_capture_VR.avi
3,15,VR,VR/M3_D15_side_capture_VR.avi
3,16,VR,VR/M3_D16_side_capture_VR.avi
3,17,VR,VR/M3_D17_side_capture_VR.avi
3,18,VR,VR/M3_D18_side_capture_VR.avi
3,19,VR,VR/M3_D19_side_capture_VR.avi
3,20,VR,VR/M3_D20_side_capture_VR.avi
3,21,VR,VR/M3_D21_side_capture_VR.avi
